PONo,PODate,PRNo,VendorCode,VendorName,Vertical,ItemCode,ItemDescription,OrderedQty,UOM,UnitPrice,TotalAmount,Currency,PromisedDeliveryDate,PaymentTerms,ApprovedBy,Status,DeptCode,ProjectCode
PO-40001,2026-02-27,PR-30002,V-1010,Century Plyboards,Carpentry,I-5015,Hinges SS 4 inch,19,Pair,77.34,1469.5,INR,2026-03-15,Net 45,David Seshadri,Partially Delivered,DEP-03,PRJ-103
PO-40002,2026-04-10,PR-30004,V-1033,Vikram Solar,Solar Panels,I-5034,String Inverter 50kW,33,Nos,394747.93,13026681.77,INR,2026-04-16,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40003,2026-01-16,PR-30006,V-1053,Prince Pipes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,15,Nos,300.2,4502.94,INR,2026-02-02,Net 15,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40004,2025-09-23,PR-30008,V-1008,KEI Industries,Electrical,I-5004,LED Flood Light 100W,25,Nos,1516.38,37909.4,INR,2025-10-08,Net 30,Hemal Chad,Partially Delivered,DEP-03,PRJ-103
PO-40005,2026-05-21,PR-30009,V-1033,Vikram Solar,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),15,Coil,3179.71,47695.58,INR,2026-06-05,Advance 20% + Net 30,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40006,2026-05-03,PR-30010,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5047,Battery Interconnect Cable Set,36,Set,600.18,21606.41,INR,2026-05-22,Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40007,2026-05-08,PR-30011,V-1006,Legrand India,Electrical,I-5003,Distribution Board 8-Way,22,Nos,1315.73,28946.06,INR,2026-05-23,Net 45,David Seshadri,Closed,DEP-02,PRJ-102
PO-40008,2026-07-26,PR-30015,V-1011,Greenply Industries,Carpentry,I-5015,Hinges SS 4 inch,32,Pair,86.23,2759.49,INR,2026-08-05,Net 60,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40009,2026-02-21,PR-30016,V-1009,Orient Electric,Electrical,I-5006,Cable Tray 300mm (2m length),6,Nos,921.84,5531.03,INR,2026-03-14,Net 15,David Seshadri,Closed,DEP-02,PRJ-102
PO-40010,2025-12-26,PR-30017,V-1036,Emmvee Solar,Solar Panels,I-5041,Solar Cable Gland Set,26,Set,129.69,3371.92,INR,2026-01-12,Net 45,Januja Pradhan,Partially Delivered,DEP-06,PRJ-106
PO-40011,2026-03-18,PR-30018,V-1016,Merino Laminates,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,35,Pair,391.82,13713.81,INR,2026-03-23,Net 15,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40012,2025-09-12,PR-30019,V-1053,Prince Pipes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,26,Nos,259.43,6745.14,INR,2025-09-23,Net 15,Hemal Chad,Open,DEP-01,PRJ-101
PO-40013,2026-07-25,PR-30021,V-1011,Greenply Industries,Carpentry,I-5021,Adhesive Fevicol SH (5kg),32,Can,1221.09,39074.83,INR,2026-07-29,Net 60,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40014,2026-07-28,PR-30022,V-1024,JK Cement,Road Construction Materials,I-5027,Ready Mix Concrete M25,19,Cum,6405.25,121699.76,INR,2026-08-17,Advance 20% + Net 30,Reva Viswanathan,Open,DEP-01,PRJ-101
PO-40015,2026-01-04,PR-30023,V-1015,Action Tesa,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),20,Sheet,3872.42,77448.37,INR,2026-01-22,Net 30,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40016,2026-04-03,PR-30024,V-1007,Schneider Electric India,Electrical,I-5011,Cable Gland Brass 25mm,20,Nos,57.3,1145.94,INR,2026-04-08,Net 30,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40017,2026-02-19,PR-30025,V-1053,Prince Pipes,Plumbing Materials,I-5058,Submersible Pump 1HP,22,Nos,7999.43,175987.56,INR,2026-02-25,Net 15,Hemal Chad,Open,DEP-04,PRJ-104
PO-40018,2025-12-28,PR-30026,V-1040,Exide Industries,Batteries,I-5046,Battery Rack 4-Tier MS,6,Nos,3033.05,18198.27,INR,2026-01-09,Net 45,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40019,2026-06-28,PR-30028,V-1021,ACC Limited,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,25,Ton,63358.49,1583962.14,INR,2026-07-04,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-01,PRJ-101
PO-40020,2026-04-14,PR-30029,V-1013,Archidply Industries,Carpentry,I-5021,Adhesive Fevicol SH (5kg),13,Can,1067.67,13879.74,INR,2026-04-25,Advance 20% + Net 30,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40021,2026-02-01,PR-30030,V-1014,Duro Ply India,Carpentry,I-5015,Hinges SS 4 inch,16,Pair,77.14,1234.25,INR,2026-02-10,Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40022,2026-01-30,PR-30031,V-1038,Websol Energy System,Solar Panels,I-5041,Solar Cable Gland Set,6,Set,142.97,857.83,INR,2026-02-17,Net 45,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40023,2026-01-21,PR-30032,V-1044,Okaya Power,Batteries,I-5042,Tubular Battery 150Ah C10,19,Nos,13768.96,261610.27,INR,2026-02-11,Net 15,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40024,2026-01-13,PR-30034,V-1020,UltraTech Cement,Road Construction Materials,I-5027,Ready Mix Concrete M25,19,Cum,5965.93,113352.73,INR,2026-01-30,Net 30,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40025,2026-04-18,PR-30035,V-1002,Finolex Cables,Electrical,I-5004,LED Flood Light 100W,22,Nos,1949.94,42898.78,INR,2026-05-08,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40026,2026-05-23,PR-30036,V-1028,Birla Corporation,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),18,Drum,9013.56,162244.06,INR,2026-06-07,Net 60,Januja Pradhan,Closed,DEP-02,PRJ-102
PO-40027,2026-01-29,PR-30037,V-1012,Kitply Industries,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),41,Sheet,3178.86,130333.27,INR,2026-02-18,Net 15,Balveer Kota,Closed,DEP-05,PRJ-105
PO-40028,2026-06-23,PR-30038,V-1056,Jaquar Group,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,13,Nos,337.7,4390.12,INR,2026-06-30,Net 15,David Seshadri,Closed,DEP-02,PRJ-102
PO-40029,2026-08-04,PR-30040,V-1025,Dalmia Bharat Cement,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,16,Ton,62097.2,993555.27,INR,2026-08-24,Net 60,David Seshadri,Closed,DEP-03,PRJ-103
PO-40030,2026-02-16,PR-30042,V-1059,Roto Pumps,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),15,Pcs,1059.98,15899.74,INR,2026-02-24,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40031,2026-01-12,PR-30043,V-1032,Adani Solar,Solar Panels,I-5039,Earthing Kit for Module Structure,10,Set,809.09,8090.93,INR,2026-01-29,Net 60,Januja Pradhan,Partially Delivered,DEP-04,PRJ-104
PO-40032,2026-01-20,PR-30044,V-1017,Hettich India,Carpentry,I-5018,Wood Screws 2 inch (box of 100),11,Box,175.55,1931.05,INR,2026-01-30,Net 45,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40033,2026-07-24,PR-30045,V-1042,Luminous Power Technologies,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,24,Nos,114286.23,2742869.57,INR,2026-08-05,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40034,2026-05-09,PR-30046,V-1042,Luminous Power Technologies,Batteries,I-5046,Battery Rack 4-Tier MS,18,Nos,3501.11,63019.98,INR,2026-05-24,Advance 20% + Net 30,Januja Pradhan,Cancelled,DEP-03,PRJ-103
PO-40035,2025-09-14,PR-30047,V-1009,Orient Electric,Electrical,I-5006,Cable Tray 300mm (2m length),25,Nos,829.78,20744.42,INR,2025-09-28,Net 15,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40036,2026-02-03,PR-30048,V-1037,RenewSys India,Solar Panels,I-5039,Earthing Kit for Module Structure,11,Set,779.81,8577.88,INR,2026-02-09,Net 45,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40037,2026-07-02,PR-30049,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,I-5056,Concealed Cistern with Frame,26,Set,9052.28,235359.3,INR,2026-07-16,Net 15,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40038,2025-10-06,PR-30050,V-1033,Vikram Solar,Solar Panels,I-5037,MC4 Connector Pair,33,Pair,79.61,2627.09,INR,2025-10-09,Advance 20% + Net 30,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40039,2026-02-18,PR-30051,V-1048,Base Corporation,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,56,Nos,9827.33,550330.44,INR,2026-02-26,Net 30,David Seshadri,Closed,DEP-02,PRJ-102
PO-40040,2026-05-31,PR-30052,V-1001,Polycab India,Electrical,I-5006,Cable Tray 300mm (2m length),12,Nos,1022.7,12272.43,INR,2026-06-19,Net 30,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40041,2026-03-29,PR-30053,V-1001,Polycab India,Electrical,I-5007,Junction Box IP65,36,Nos,194.28,6993.95,INR,2026-04-05,Net 30,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40042,2025-10-26,PR-30054,V-1033,Vikram Solar,Solar Panels,I-5038,Combiner Box 6 in 1 out,24,Nos,5950.57,142813.69,INR,2025-11-12,Advance 20% + Net 30,Reva Viswanathan,Partially Delivered,DEP-04,PRJ-104
PO-40043,2025-11-12,PR-30055,V-1045,HBL Power Systems,Batteries,I-5047,Battery Interconnect Cable Set,26,Set,561.63,14602.48,INR,2025-11-16,Net 45,Januja Pradhan,Cancelled,DEP-01,PRJ-101
PO-40044,2026-05-19,PR-30056,V-1028,Birla Corporation,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),34,Roll,4482.31,152398.48,INR,2026-05-25,Net 60,Januja Pradhan,Open,DEP-03,PRJ-103
PO-40045,2026-02-27,PR-30058,V-1012,Kitply Industries,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,11,Pair,390.37,4294.07,INR,2026-03-04,Net 15,Hemal Chad,Open,DEP-01,PRJ-101
PO-40046,2025-11-22,PR-30059,V-1036,Emmvee Solar,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,29,Nos,11450.15,332054.33,INR,2025-12-09,Net 45,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40047,2025-09-26,PR-30060,V-1033,Vikram Solar,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),15,Coil,2723.26,40848.95,INR,2025-10-07,Advance 20% + Net 30,David Seshadri,Closed,DEP-04,PRJ-104
PO-40048,2026-06-25,PR-30062,V-1050,Astral Pipes,Plumbing Materials,I-5055,Sanitaryware Wash Basin,32,Nos,2367.28,75753.11,INR,2026-07-03,Net 60,Januja Pradhan,Partially Delivered,DEP-04,PRJ-104
PO-40049,2025-11-04,PR-30063,V-1002,Finolex Cables,Electrical,I-5010,MCCB 200A,9,Nos,7640.11,68761.0,INR,2025-11-10,Advance 20% + Net 30,Hemal Chad,Closed,DEP-02,PRJ-102
PO-40050,2026-06-23,PR-30064,V-1047,Panasonic Energy India,Batteries,I-5049,Deep Cycle Battery 200Ah,11,Nos,20476.14,225237.52,INR,2026-07-11,Net 15,Balveer Kota,Closed,DEP-05,PRJ-105
PO-40051,2026-08-01,PR-30067,V-1055,CERA Sanitaryware,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,34,Nos,69.49,2362.65,INR,2026-08-20,Net 30,David Seshadri,Closed,DEP-04,PRJ-104
PO-40052,2026-04-04,PR-30068,V-1055,CERA Sanitaryware,Plumbing Materials,I-5056,Concealed Cistern with Frame,24,Set,8038.22,192917.31,INR,2026-04-24,Net 30,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40053,2026-02-12,PR-30069,V-1004,V-Guard Industries,Electrical,I-5005,Modular Switch 6A,17,Nos,65.86,1119.64,INR,2026-02-27,Advance 20% + Net 30,Balveer Kota,Closed,DEP-06,PRJ-106
