WarehouseCode,WarehouseName,ItemCode,ItemDescription,Vertical,UOM,StockQty,ReorderLevel,LastReceivedDate,LastIssuedDate,AgingDays,UnitValue,StockValueINR,StockStatus
WH-01,Central Warehouse - Pune,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,Electrical,Mtr,47,10,2026-08-05,2026-08-16,26,420,19740,Adequate
WH-02,Site Store - Nashik Project,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,Electrical,Mtr,84,38,2026-08-07,2026-08-26,24,420,35280,Adequate
WH-01,Central Warehouse - Pune,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,Coil,72,34,2026-01-23,2026-02-03,220,1650,118800,Adequate
WH-02,Site Store - Nashik Project,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,Coil,22,19,2025-09-12,2025-10-17,353,1650,36300,Adequate
WH-03,Site Store - Aurangabad Project,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,Coil,39,30,2026-05-27,2026-06-04,96,1650,64350,Adequate
WH-03,Site Store - Aurangabad Project,I-5002,MCB 32A Single Pole,Electrical,Nos,26,20,2025-11-08,2025-11-17,296,145,3770,Adequate
WH-01,Central Warehouse - Pune,I-5003,Distribution Board 8-Way,Electrical,Nos,11,22,2025-11-05,2025-11-06,299,1250,13750,Below Reorder
WH-03,Site Store - Aurangabad Project,I-5003,Distribution Board 8-Way,Electrical,Nos,53,32,2026-03-07,2026-03-29,177,1250,66250,Adequate
WH-01,Central Warehouse - Pune,I-5004,LED Flood Light 100W,Electrical,Nos,33,36,2025-10-04,2025-11-14,331,1850,61050,Below Reorder
WH-02,Site Store - Nashik Project,I-5004,LED Flood Light 100W,Electrical,Nos,10,39,2025-12-19,2026-02-02,255,1850,18500,Below Reorder
WH-03,Site Store - Aurangabad Project,I-5004,LED Flood Light 100W,Electrical,Nos,16,29,2026-02-24,2026-03-04,188,1850,29600,Below Reorder
WH-02,Site Store - Nashik Project,I-5005,Modular Switch 6A,Electrical,Nos,19,36,2025-09-09,2025-09-15,356,65,1235,Below Reorder
WH-03,Site Store - Aurangabad Project,I-5005,Modular Switch 6A,Electrical,Nos,49,24,2025-10-31,2025-11-09,304,65,3185,Adequate
WH-01,Central Warehouse - Pune,I-5006,Cable Tray 300mm (2m length),Electrical,Nos,8,23,2026-03-03,2026-04-07,181,980,7840,Below Reorder
WH-02,Site Store - Nashik Project,I-5006,Cable Tray 300mm (2m length),Electrical,Nos,8,21,2026-03-18,2026-04-06,166,980,7840,Below Reorder
WH-01,Central Warehouse - Pune,I-5007,Junction Box IP65,Electrical,Nos,26,37,2025-09-14,2025-09-30,351,210,5460,Below Reorder
WH-02,Site Store - Nashik Project,I-5008,Earthing Strip GI 25x3mm,Electrical,Mtr,9,25,2025-09-28,2025-10-25,337,95,855,Below Reorder
WH-03,Site Store - Aurangabad Project,I-5008,Earthing Strip GI 25x3mm,Electrical,Mtr,19,29,2025-11-22,2025-12-22,282,95,1805,Below Reorder
