GRNNo,GRNDate,PONo,VendorCode,WarehouseCode,ItemCode,ItemDescription,Vertical,ReceivedQty,AcceptedQty,RejectedQty,UOM,InspectedBy,QCStatus
GRN-50001,2026-03-15,PO-40001,V-1010,WH-01,I-5015,Hinges SS 4 inch,Carpentry,19,19,0,Pair,Forum Chandra,Accepted
GRN-50002,2026-04-16,PO-40002,V-1033,WH-01,I-5034,String Inverter 50kW,Solar Panels,33,32,1,Nos,Gauri Bumb,Rejected - Partial
GRN-50003,2026-01-28,PO-40003,V-1053,WH-02,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,15,15,0,Nos,Bhanumati Krishnan,Accepted
GRN-50004,2025-10-15,PO-40004,V-1008,WH-01,I-5004,LED Flood Light 100W,Electrical,12,12,0,Nos,Gauri Bumb,Accepted
GRN-50005,2025-10-15,PO-40004,V-1008,WH-01,I-5004,LED Flood Light 100W,Electrical,13,13,0,Nos,Inaya Mukherjee,Accepted
GRN-50006,2026-06-06,PO-40005,V-1033,WH-01,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,15,15,0,Coil,Gauri Bumb,Accepted
GRN-50007,2026-05-22,PO-40006,V-1041,WH-03,I-5047,Battery Interconnect Cable Set,Batteries,36,36,0,Set,Charles Natt,Accepted
GRN-50008,2026-05-21,PO-40007,V-1006,WH-03,I-5003,Distribution Board 8-Way,Electrical,22,21,1,Nos,Lila Rege,Rejected - Partial
GRN-50009,2026-08-07,PO-40008,V-1011,WH-01,I-5015,Hinges SS 4 inch,Carpentry,32,31,1,Pair,Charles Natt,Rejected - Partial
GRN-50010,2026-03-14,PO-40009,V-1009,WH-01,I-5006,Cable Tray 300mm (2m length),Electrical,6,6,0,Nos,Bhanumati Krishnan,Accepted
GRN-50011,2026-01-07,PO-40010,V-1036,WH-02,I-5041,Solar Cable Gland Set,Solar Panels,26,25,1,Set,Inaya Mukherjee,Rejected - Partial
GRN-50012,2026-03-22,PO-40011,V-1016,WH-03,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,35,35,0,Pair,Charles Natt,Accepted
GRN-50013,2025-09-28,PO-40012,V-1053,WH-03,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,26,26,0,Nos,Inaya Mukherjee,Accepted
