InvoiceNo,InvoiceDate,PONo,GRNNo,VendorCode,VendorName,Vertical,InvoiceAmount,TaxAmount,TotalAmount,PaymentDueDate,PaymentStatus,PaymentDate,DeptCode,ProjectCode
INV-60001,2026-03-18,PO-40001,GRN-50001,V-1010,Century Plyboards,Carpentry,1469.5,264.51,1734.01,2026-05-02,Paid,2026-05-03,DEP-03,PRJ-103
INV-60002,2026-04-17,PO-40002,GRN-50002,V-1033,Vikram Solar,Solar Panels,12631933.84,2273748.09,14905681.93,2026-05-17,Paid,2026-05-23,DEP-03,PRJ-103
INV-60003,2026-01-28,PO-40003,GRN-50003,V-1053,Prince Pipes,Plumbing Materials,4502.94,810.53,5313.47,2026-02-12,Overdue,,DEP-06,PRJ-106
INV-60004,2025-10-19,PO-40004,GRN-50004,V-1008,KEI Industries,Electrical,18196.51,3275.37,21471.88,2025-11-18,Paid,2025-11-19,DEP-03,PRJ-103
INV-60005,2025-10-19,PO-40004,GRN-50005,V-1008,KEI Industries,Electrical,19712.89,3548.32,23261.21,2025-11-18,Paid,2025-11-13,DEP-03,PRJ-103
INV-60006,2026-06-08,PO-40005,GRN-50006,V-1033,Vikram Solar,Solar Panels,47695.58,8585.2,56280.78,2026-07-08,Paid,2026-07-08,DEP-01,PRJ-101
INV-60007,2026-05-23,PO-40006,GRN-50007,V-1041,Amara Raja Batteries (Amaron),Batteries,21606.41,3889.15,25495.56,2026-06-22,Paid,2026-07-06,DEP-04,PRJ-104
INV-60008,2026-05-22,PO-40007,GRN-50008,V-1006,Legrand India,Electrical,27630.33,4973.46,32603.79,2026-07-06,Paid,2026-07-07,DEP-02,PRJ-102
INV-60009,2026-08-12,PO-40008,GRN-50009,V-1011,Greenply Industries,Carpentry,2673.25,481.18,3154.43,2026-10-11,Paid,2026-10-08,DEP-04,PRJ-104
INV-60010,2026-03-17,PO-40009,GRN-50010,V-1009,Orient Electric,Electrical,5531.03,995.59,6526.62,2026-04-01,Paid,2026-04-10,DEP-02,PRJ-102
INV-60011,2026-01-12,PO-40010,GRN-50011,V-1036,Emmvee Solar,Solar Panels,3242.23,583.6,3825.83,2026-02-26,Paid,2026-03-04,DEP-06,PRJ-106
INV-60012,2026-03-27,PO-40011,GRN-50012,V-1016,Merino Laminates,Carpentry,13713.81,2468.49,16182.3,2026-04-11,Paid,2026-04-12,DEP-04,PRJ-104
INV-60013,2025-09-29,PO-40012,GRN-50013,V-1053,Prince Pipes,Plumbing Materials,6745.14,1214.13,7959.27,2025-10-14,Pending,,DEP-01,PRJ-101
INV-60014,2026-08-07,PO-40013,GRN-50014,V-1011,Greenply Industries,Carpentry,39074.83,7033.47,46108.3,2026-10-06,Paid,2026-10-03,DEP-06,PRJ-106
INV-60015,2026-08-20,PO-40014,GRN-50015,V-1024,JK Cement,Road Construction Materials,121699.76,21905.96,143605.72,2026-09-19,Paid,2026-10-01,DEP-01,PRJ-101
INV-60016,2026-02-02,PO-40015,GRN-50016,V-1015,Action Tesa,Carpentry,77448.37,13940.71,91389.08,2026-03-04,Paid,2026-03-04,DEP-01,PRJ-101
INV-60017,2026-04-13,PO-40016,GRN-50017,V-1007,Schneider Electric India,Electrical,1145.94,206.27,1352.21,2026-05-13,Paid,2026-05-14,DEP-02,PRJ-102
INV-60018,2026-02-24,PO-40017,GRN-50018,V-1053,Prince Pipes,Plumbing Materials,175987.56,31677.76,207665.32,2026-03-11,Paid,2026-03-11,DEP-04,PRJ-104
INV-60019,2026-01-12,PO-40018,GRN-50019,V-1040,Exide Industries,Batteries,18198.27,3275.69,21473.96,2026-02-26,Paid,2026-02-26,DEP-01,PRJ-101
INV-60020,2026-07-08,PO-40019,GRN-50020,V-1021,ACC Limited,Road Construction Materials,1583962.14,285113.19,1869075.33,2026-08-07,Paid,2026-08-15,DEP-01,PRJ-101
INV-60021,2026-04-28,PO-40020,GRN-50021,V-1013,Archidply Industries,Carpentry,13879.74,2498.35,16378.09,2026-05-28,Paid,2026-06-07,DEP-04,PRJ-104
INV-60022,2026-02-11,PO-40021,GRN-50022,V-1014,Duro Ply India,Carpentry,1234.25,222.16,1456.41,2026-03-13,Paid,2026-03-14,DEP-04,PRJ-104
