PRNo,PRDate,DeptCode,DeptName,ProjectCode,ProjectName,ItemCode,ItemDescription,Vertical,RequestedQty,UOM,RequiredByDate,RequestedBy,Priority,Status
PR-30001,2026-01-14,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5052,PVC Elbow 4 inch,Plumbing Materials,28,Nos,2026-01-24,Yashica Rajagopalan,Medium,Pending Approval
PR-30002,2026-02-23,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5015,Hinges SS 4 inch,Carpentry,19,Pair,2026-03-08,Ekanta Soni,Medium,Converted to PO
PR-30003,2025-10-09,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5033,Solar Module 550Wp Bifacial,Solar Panels,49,Nos,2025-11-07,Dayita Shenoy,High,Pending Approval
PR-30004,2026-04-09,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5034,String Inverter 50kW,Solar Panels,33,Nos,2026-04-20,Ria Bir,Low,Converted to PO
PR-30005,2025-12-01,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,15,Pcs,2025-12-31,Benjamin Sengupta,Low,Rejected
PR-30006,2026-01-15,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,15,Nos,2026-01-27,Aahana Hora,Medium,Converted to PO
PR-30007,2026-06-02,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5038,Combiner Box 6 in 1 out,Solar Panels,10,Nos,2026-06-19,Aahana Hora,Low,Rejected
PR-30008,2025-09-20,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5004,LED Flood Light 100W,Electrical,25,Nos,2025-09-30,Ria Bir,Medium,Converted to PO
PR-30009,2026-05-18,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,14,Coil,2026-06-03,Ria Bir,Medium,Converted to PO
PR-30010,2026-04-27,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5047,Battery Interconnect Cable Set,Batteries,36,Set,2026-05-18,Wakeeta Shetty,Medium,Converted to PO
PR-30011,2026-05-02,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5003,Distribution Board 8-Way,Electrical,21,Nos,2026-05-28,Aahana Hora,Medium,Converted to PO
PR-30012,2026-06-13,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,26,Nos,2026-06-27,Aahana Hora,Medium,Pending Approval
PR-30013,2026-07-02,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,24,Nos,2026-07-19,Daksh Pandey,Medium,Rejected
PR-30014,2026-06-08,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5056,Concealed Cistern with Frame,Plumbing Materials,4,Set,2026-06-29,Yashica Rajagopalan,Low,Pending Approval
PR-30015,2026-07-24,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5015,Hinges SS 4 inch,Carpentry,32,Pair,2026-08-08,Dayita Shenoy,Medium,Converted to PO
PR-30016,2026-02-17,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5006,Cable Tray 300mm (2m length),Electrical,6,Nos,2026-03-13,Warinder Chauhan,High,Converted to PO
PR-30017,2025-12-22,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5041,Solar Cable Gland Set,Solar Panels,26,Set,2026-01-13,Riya Mitter,Medium,Converted to PO
PR-30018,2026-03-14,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,35,Pair,2026-03-31,Ria Bir,Medium,Converted to PO
PR-30019,2025-09-11,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,25,Nos,2025-10-07,Michael Borra,Medium,Converted to PO
PR-30020,2026-06-22,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5004,LED Flood Light 100W,Electrical,16,Nos,2026-07-20,Riya Mitter,Medium,Pending Approval
PR-30021,2026-07-19,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5021,Adhesive Fevicol SH (5kg),Carpentry,33,Can,2026-08-02,Benjamin Sengupta,Medium,Converted to PO
PR-30022,2026-07-23,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5027,Ready Mix Concrete M25,Road Construction Materials,20,Cum,2026-08-13,Riya Mitter,High,Converted to PO
PR-30023,2026-01-03,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,20,Sheet,2026-01-24,Bhavini Bose,Medium,Converted to PO
PR-30024,2026-03-28,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5011,Cable Gland Brass 25mm,Electrical,20,Nos,2026-04-19,Wakeeta Shetty,Medium,Converted to PO
