ItemCode,ItemDescription,Vertical,UOM,StandardPrice,HSNCode,PreferredBrand,ItemGroup
I-5000,Armoured Copper Cable 3.5C x 95 sqmm,Electrical,Mtr,420,5891,Schneider Electric India,Electrical
I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,Coil,1650,7235,Anchor by Panasonic,Electrical
I-5002,MCB 32A Single Pole,Electrical,Nos,145,4673,Polycab India,Electrical
I-5003,Distribution Board 8-Way,Electrical,Nos,1250,7432,Crompton Greaves Consumer,Electrical
I-5004,LED Flood Light 100W,Electrical,Nos,1850,7370,Legrand India,Electrical
I-5005,Modular Switch 6A,Electrical,Nos,65,7726,Havells India,Electrical
I-5006,Cable Tray 300mm (2m length),Electrical,Nos,980,4707,Havells India,Electrical
I-5007,Junction Box IP65,Electrical,Nos,210,7199,Crompton Greaves Consumer,Electrical
I-5008,Earthing Strip GI 25x3mm,Electrical,Mtr,95,4796,Anchor by Panasonic,Electrical
I-5009,Contactor 40A 3 Pole,Electrical,Nos,1450,5470,Anchor by Panasonic,Electrical
I-5010,MCCB 200A,Electrical,Nos,8200,8294,Schneider Electric India,Electrical
I-5011,Cable Gland Brass 25mm,Electrical,Nos,55,5049,Legrand India,Electrical
I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,Sheet,3450,5404,Duro Ply India,Carpentry
I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,Sheet,1250,7690,Archidply Industries,Carpentry
I-5014,MDF Board 12mm (8x4 ft),Carpentry,Sheet,1650,4518,Hettich India,Carpentry
I-5015,Hinges SS 4 inch,Carpentry,Pair,85,8409,Greenply Industries,Carpentry
I-5016,Drawer Channel 18 inch Telescopic,Carpentry,Pair,420,4315,Ebco Private Ltd,Carpentry
I-5017,Door Lock Mortise Set,Carpentry,Set,950,4021,Greenply Industries,Carpentry
I-5018,Wood Screws 2 inch (box of 100),Carpentry,Box,180,5837,Kitply Industries,Carpentry
I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,Sheet,4200,7230,Hettich India,Carpentry
I-5020,PVC Edge Banding Tape (100m roll),Carpentry,Roll,650,7844,Archidply Industries,Carpentry
I-5021,Adhesive Fevicol SH (5kg),Carpentry,Can,1150,7186,Century Plyboards,Carpentry
I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,Bag,385,5249,Tata Steel,Road Construction Materials
I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,Ton,62000,3918,Tata Steel,Road Construction Materials
I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,Ton,850,6073,JSW Steel,Road Construction Materials
I-5025,River Sand (fine aggregate),Road Construction Materials,Ton,1450,6237,Tata Steel,Road Construction Materials
I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,Drum,9800,8453,JSW Steel,Road Construction Materials
I-5027,Ready Mix Concrete M25,Road Construction Materials,Cum,6200,5169,Shree Cement,Road Construction Materials
I-5028,PQC Dowel Bar 32mm,Road Construction Materials,Ton,64500,6331,Shree Cement,Road Construction Materials
I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,Ton,58500,4380,L&T Construction Materials,Road Construction Materials
I-5030,Kerb Stone Precast,Road Construction Materials,Nos,210,8342,UltraTech Cement,Road Construction Materials
I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,Roll,4800,6470,UltraTech Cement,Road Construction Materials
I-5032,Solar Module 540Wp Mono PERC,Solar Panels,Nos,12800,4311,Loom Solar,Solar Panels
I-5033,Solar Module 550Wp Bifacial,Solar Panels,Nos,14200,7806,Websol Energy System,Solar Panels
I-5034,String Inverter 50kW,Solar Panels,Nos,385000,8251,Adani Solar,Solar Panels
I-5035,Module Mounting Structure (per kW),Solar Panels,kW Set,4800,4366,Websol Energy System,Solar Panels
