Month,Vertical,ItemCode,ItemDescription,VendorCode,UnitPrice,StandardPrice
2026-02,Carpentry,I-5015,Hinges SS 4 inch,V-1010,77.34,85
2026-04,Solar Panels,I-5034,String Inverter 50kW,V-1033,394747.93,385000
2026-01,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1053,300.2,320
2025-09,Electrical,I-5004,LED Flood Light 100W,V-1008,1516.38,1850
2026-05,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1033,3179.71,3200
2026-05,Batteries,I-5047,Battery Interconnect Cable Set,V-1041,600.18,650
2026-05,Electrical,I-5003,Distribution Board 8-Way,V-1006,1315.73,1250
2026-07,Carpentry,I-5015,Hinges SS 4 inch,V-1011,86.23,85
2026-02,Electrical,I-5006,Cable Tray 300mm (2m length),V-1009,921.84,980
2025-12,Solar Panels,I-5041,Solar Cable Gland Set,V-1036,129.69,145
2026-03,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,V-1016,391.82,420
2025-09,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1053,259.43,320
2026-07,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1011,1221.09,1150
2026-07,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1024,6405.25,6200
2026-01,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1015,3872.42,4200
2026-04,Electrical,I-5011,Cable Gland Brass 25mm,V-1007,57.3,55
2026-02,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1053,7999.43,9200
2025-12,Batteries,I-5046,Battery Rack 4-Tier MS,V-1040,3033.05,3400
2026-06,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1021,63358.49,62000
2026-04,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1013,1067.67,1150
2026-02,Carpentry,I-5015,Hinges SS 4 inch,V-1014,77.14,85
2026-01,Solar Panels,I-5041,Solar Cable Gland Set,V-1038,142.97,145
2026-01,Batteries,I-5042,Tubular Battery 150Ah C10,V-1044,13768.96,14500
2026-01,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1020,5965.93,6200
2026-04,Electrical,I-5004,LED Flood Light 100W,V-1002,1949.94,1850
2026-05,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1028,9013.56,9800
2026-01,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),V-1012,3178.86,3450
2026-06,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1056,337.7,320
